Source	Sample
L1210_1	L1210
L1210_2	L1210
L1210_3	L1210
L1210_4	L1210
L1210_5	L1210
L1210_6	L1210
L1210_7	L1210
L1210_8	L1210
L1210_9	L1210
L1210_10	L1210
L1210_11	L1210
L1210_12	L1210
L1210_13	L1210
L1210_14	L1210
L1210_15	L1210
L1210_16	L1210
L1210_17	L1210
L1210_18	L1210
L1210_19	L1210
L1210_20	L1210
L1210_21	L1210
L1210_22	L1210
L1210_23	L1210
L1210_24	L1210
L1210_25	L1210
L1210_26	L1210
L1210_27	L1210
L1210_28	L1210
L1210_29	L1210
L1210_30	L1210
L1210_31	L1210
L1210_32	L1210
L1210_33	L1210
L1210_34	L1210
L1210_35	L1210
L1210_36	L1210
L1210_37	L1210
L1210_38	L1210
L1210_39	L1210
L1210_40	L1210
L1210_41	L1210
L1210_42	L1210
L1210_43	L1210
L1210_44	L1210
L1210_45	L1210
L1210_46	L1210
L1210_47	L1210
L1210_48	L1210
L1210_49	L1210
L1210_50	L1210
L1210_51	L1210
L1210_52	L1210
L1210_53	L1210
L1210_54	L1210
L1210_55	L1210
L1210_56	L1210
L1210_57	L1210
L1210_58	L1210
L1210_59	L1210
L1210_60	L1210
L1210_61	L1210
L1210_62	L1210
L1210_63	L1210
L1210_64	L1210
L1210_65	L1210
L1210_66	L1210
L1210_67	L1210
L1210_68	L1210
L1210_69	L1210
L1210_70	L1210
L1210_71	L1210
L1210_72	L1210
L1210_73	L1210
L1210_74	L1210
L1210_75	L1210
L1210_76	L1210
L1210_77	L1210
L1210_78	L1210
L1210_79	L1210
L1210_80	L1210
L1210_81	L1210
L1210_82	L1210
L1210_83	L1210
L1210_84	L1210
L1210_85	L1210
L1210_86	L1210
L1210_87	L1210
L1210_88	L1210
CD8_1	CD8
CD8_2	CD8
CD8_3	CD8
CD8_4	CD8
CD8_5	CD8
CD8_6	CD8
CD8_7	CD8
CD8_8	CD8
CD8_9	CD8
CD8_10	CD8
CD8_11	CD8
CD8_12	CD8
CD8_13	CD8
CD8_14	CD8
CD8_15	CD8
CD8_16	CD8
CD8_17	CD8
CD8_18	CD8
CD8_19	CD8
CD8_20	CD8
CD8_21	CD8
CD8_22	CD8
CD8_23	CD8
CD8_24	CD8
CD8_25	CD8
CD8_26	CD8
CD8_27	CD8
CD8_28	CD8
CD8_29	CD8
CD8_30	CD8
CD8_31	CD8
CD8_32	CD8
CD8_33	CD8
CD8_34	CD8
CD8_35	CD8
CD8_36	CD8
CD8_37	CD8
CD8_38	CD8
CD8_39	CD8
CD8_40	CD8
CD8_41	CD8
CD8_42	CD8
CD8_43	CD8
CD8_44	CD8
CD8_45	CD8
CD8_46	CD8
CD8_47	CD8
CD8_48	CD8
CD8_49	CD8
CD8_50	CD8
CD8_51	CD8
CD8_52	CD8
CD8_53	CD8
CD8_54	CD8
CD8_55	CD8
CD8_56	CD8
CD8_57	CD8
CD8_58	CD8
CD8_59	CD8
CD8_60	CD8
CD8_61	CD8
CD8_62	CD8
CD8_63	CD8
CD8_64	CD8
CD8_65	CD8
CD8_66	CD8
CD8_67	CD8
CD8_68	CD8
CD8_69	CD8
CD8_70	CD8
CD8_71	CD8
CD8_72	CD8
CD8_73	CD8
CD8_74	CD8
CD8_75	CD8
CD8_76	CD8
CD8_77	CD8
CD8_78	CD8
CD8_79	CD8
CD8_80	CD8
CD8_81	CD8
CD8_82	CD8
CD8_83	CD8
CD8_84	CD8
CD8_85	CD8
CD8_86	CD8
CD8_87	CD8
CD8_88	CD8
CD8_89	CD8
CD8_90	CD8
CD8_91	CD8
CD8_92	CD8
CD8_93	CD8
CD8_94	CD8
CD8_95	CD8
CD8_96	CD8
CD8_97	CD8
CD8_98	CD8
CD8_99	CD8
CD8_100	CD8
CD8_101	CD8
CD8_102	CD8
CD8_103	CD8
CD8_104	CD8
CD8_105	CD8
CD8_106	CD8
